# Atomic number Z= 29  Date:04-11-2021

# Record	Shelli	  2Ji		  Eigi --->		Shellf	  2Jf			Eigf		   Energy (eV)			 Rate(1/s)			 Width(eV)
	 195	   K1	    2	         1 ---> 	 L3M1	    5	         1	     7.8945567E+03	        0.00089254	           1.52288
	 196	   K1	    2	         1 ---> 	 L2M2	    1	         6	     7.9154966E+03	        0.00204803	           1.52288
	 197	   K1	    2	         1 ---> 	 L2M3	    3	         7	     7.9212213E+03	        0.00838892	           1.52288
	 198	   K1	    2	         1 ---> 	 L2M3	    5	         4	     7.9215157E+03	         0.0126467	           1.52288
	 199	   K1	    2	         1 ---> 	 L2M3	    1	         5	     7.9222275E+03	       3.69191e-06	           1.52288
	 200	   K1	    2	         1 ---> 	 L2M3	    3	         6	     7.9225978E+03	       8.37257e-05	           1.52288
	 201	   K1	    2	         1 ---> 	 L2M2	    3	         4	     7.9230776E+03	       1.13899e-05	           1.52288
	 202	   K1	    2	         1 ---> 	 L2M2	    3	         5	     7.9230942E+03	       8.77161e-05	           1.52288
	 203	   K1	    2	         1 ---> 	 L2M2	    1	         4	     7.9232645E+03	       7.28827e-06	           1.52288
	 204	   K1	    2	         1 ---> 	 L3M2	    5	         3	     7.9394987E+03	         0.0120929	           1.52288
	 205	   K1	    2	         1 ---> 	 L3M2	    1	         2	     7.9398974E+03	       6.16382e-06	           1.52288
	 206	   K1	    2	         1 ---> 	 L3M2	    3	         3	     7.9401375E+03	       8.36164e-05	           1.52288
	 207	   K1	    2	         1 ---> 	 L3M2	    3	         2	     7.9406422E+03	       0.000320792	           1.52288
	 208	   K1	    2	         1 ---> 	 L3M2	    5	         2	     7.9408421E+03	       0.000478163	           1.52288
	 209	   K1	    2	         1 ---> 	 L3M3	    1	         3	     7.9433017E+03	        0.00211077	           1.52288
	 210	   K1	    2	         1 ---> 	 L3M3	    5	         1	     7.9454639E+03	       8.94613e-06	           1.52288
	 211	   K1	    2	         1 ---> 	 L3M3	    7	         1	     7.9458641E+03	       4.32693e-05	           1.52288
	 212	   K1	    2	         1 ---> 	 L3M3	    1	         1	     7.9459035E+03	       1.85681e-06	           1.52288
	 213	   K1	    2	         1 ---> 	 L3M3	    3	         1	     7.9459645E+03	       6.94194e-06	           1.52288
	 214	   K1	    2	         1 ---> 	 L2M4	    3	         7	     7.9991707E+03	       8.91902e-06	           1.52288
	 215	   K1	    2	         1 ---> 	 L2M4	    1	         4	     7.9993681E+03	       1.56886e-06	           1.52288
	 216	   K1	    2	         1 ---> 	 L2M5	    5	         7	     8.0000312E+03	       0.000663558	           1.52288
	 217	   K1	    2	         1 ---> 	 L2M5	    7	         4	     8.0003000E+03	       0.000578386	           1.52288
	 218	   K1	    2	         1 ---> 	 L2M5	    3	         6	     8.0007628E+03	        4.3176e-06	           1.52288
	 219	   K1	    2	         1 ---> 	 L2M5	    5	         6	     8.0010622E+03	       1.68633e-05	           1.52288
	 220	   K1	    2	         1 ---> 	 L2M4	    5	         5	     8.0022631E+03	       0.000114926	           1.52288
	 221	   K1	    2	         1 ---> 	 L2M4	    3	         5	     8.0024679E+03	       0.000142629	           1.52288
	 222	   K1	    2	         1 ---> 	 L2N1	    1	         1	     8.0106607E+03	       2.77265e-05	           1.52288
	 223	   K1	    2	         1 ---> 	 L3M5	    1	         3	     8.0244891E+03	       6.15213e-06	           1.52288
	 224	   K1	    2	         1 ---> 	 L3M5	    3	         4	     8.0246154E+03	       7.49704e-06	           1.52288
	 225	   K1	    2	         1 ---> 	 L3M5	    5	         4	     8.0249283E+03	       0.000460372	           1.52288
	 226	   K1	    2	         1 ---> 	 L3M4	    7	         3	     8.0249314E+03	        0.00091261	           1.52288
	 227	   K1	    2	         1 ---> 	 L3M4	    1	         2	     8.0257163E+03	       3.72904e-06	           1.52288
	 228	   K1	    2	         1 ---> 	 L3M4	    3	         3	     8.0260677E+03	       9.34112e-06	           1.52288
	 229	   K1	    2	         1 ---> 	 L3M4	    1	         1	     8.0261836E+03	       4.86772e-06	           1.52288
	 230	   K1	    2	         1 ---> 	 L3M4	    3	         2	     8.0266471E+03	       1.44961e-05	           1.52288
	 231	   K1	    2	         1 ---> 	 L3M4	    5	         3	     8.0267775E+03	       1.19922e-05	           1.52288
	 232	   K1	    2	         1 ---> 	 L3M4	    5	         2	     8.0275311E+03	       6.84614e-05	           1.52288
