#	Atomic	number	Z=	34	Date:31-10-2019											
																
#	Number	Shelli	2Ji	Eigi	--->	Shellf	2Jf	Eigf	Energy(eV)	BranchingRatio	LevelRadYield	Intensity(eV)	Weight(%)	RadWidth(eV)	AugWidth(eV)	TotWidth(eV)
	136	K1K1	2	1	--->	K1L1	2	4	11395.77	1.44628E-10	0.5980881	1.97147E-07	20	4.44424	2.986505	7.430745
	137	K1K1	2	1	--->	K1L1	2	5	11393.11	7.15829E-11	0.5980881	9.75543E-08	20	4.447826	2.988915	7.43674
	138	K1K1	2	1	--->	K1L1	2	6	11357.33	2.48553E-07	0.5980881	0.000337668	20	4.626173	3.108763	7.734936
	139	K1K1	2	1	--->	K1L1	4	1	11397.9	2.44317E-07	0.5980881	0.000333099	20	4.452387	2.99198	7.444367
	140	K1K1	2	1	--->	K1L1	4	2	11397.41	7.32172E-07	0.5980881	0.000998193	20	4.435271	2.980478	7.415749
	141	K1K1	2	1	--->	K1L1	4	3	11395.8	2.09914E-10	0.5980881	2.86141E-07	20	4.445788	2.987545	7.433334
	142	K1K1	2	1	--->	K1L1	4	4	11357.84	7.45665E-07	0.5980881	0.001013059	20	4.638476	3.117031	7.755507
	143	K1K1	2	1	--->	K1L1	4	5	11355.74	1.64664E-08	0.5980881	2.2367E-05	20	4.628842	3.110557	7.739399
	144	K1K1	2	1	--->	K1L2	0	4	11550.29	3.47027E-05	0.5980881	0.04794581	20	4.011689	2.695833	6.707522
	145	K1K1	2	1	--->	K1L2	0	5	11546.1	3.05825E-05	0.5980881	0.04223795	20	4.008092	2.693416	6.701508
	146	K1K1	2	1	--->	K1L2	0	6	11543.36	0.05803741	0.5980881	80.13742	20	4.485869	3.014479	7.500348
	147	K1K1	2	1	--->	K1L2	2	9	11550.43	0.00029042	0.5980881	0.4012544	20	4.015992	2.698725	6.714717
	148	K1K1	2	1	--->	K1L2	2	10	11543.52	0.009236258	0.5980881	12.7535	20	4.492012	3.018608	7.51062
	149	K1K1	2	1	--->	K1L2	2	11	11543.44	0.1402475	0.5980881	193.6535	20	4.472968	3.00581	7.478778
	150	K1K1	2	1	--->	K1L2	2	12	11543.17	0.0183669	0.5980881	25.3604	20	4.479289	3.010057	7.489346
