# Atomic number Z= 29  Date:24-11-2022

# Register Shelli	2Ji		Eigi	 ---> 	 Shellf		2Jf		Eigf	Energy(eV)			Rate(s-1)		Width(eV)
	204	   K1	    2	     1		 ---> 	 L3M2	    5	     3		7.9394987E+03     	3.7305130E+13  	0.15428162103608045
	205	   K1	    2	     1		 ---> 	 L3M2	    1	     2		7.9398974E+03     	1.9014657E+10  	7.863830270542026e-05
	206	   K1	    2	     1		 ---> 	 L3M2	    3	     3		7.9401375E+03     	2.5794651E+11  	0.001066781048702941
	207	   K1	    2	     1		 ---> 	 L3M2	    3	     2		7.9406422E+03     	9.8960374E+11  	0.004092672219358782
	208	   K1	    2	     1		 ---> 	 L3M2	    5	     2		7.9408421E+03     	1.4750770E+12  	0.006100428298012591
	209	   K1	    2	     1		 ---> 	 L3M3	    1	     3		7.9433017E+03     	6.5114790E+12  	0.026929313353482382
	210	   K1	    2	     1		 ---> 	 L3M3	    5	     1		7.9454639E+03     	2.7597734E+10  	0.00011413505698660085
	211	   K1	    2	     1		 ---> 	 L3M3	    7	     1		7.9458641E+03     	1.3348066E+11  	0.0005520316536027593
	212	   K1	    2	     1		 ---> 	 L3M3	    1	     1		7.9459035E+03     	5.7280444E+09  	2.36892881863337e-05
	213	   K1	    2	     1		 ---> 	 L3M3	    3	     1		7.9459645E+03     	2.1415044E+10  	8.856550567921861e-05
	214	   K1	    2	     1		 ---> 	 L2M4	    3	     7		7.9991707E+03     	2.7514102E+10  	0.00011378918282584897
	215	   K1	    2	     1		 ---> 	 L2M4	    1	     4		7.9993681E+03     	4.8397458E+09  	2.0015580361911673e-05
	216	   K1	    2	     1		 ---> 	 L2M5	    5	     7		8.0000312E+03     	2.0469977E+12  	0.008465702261676299
	217	   K1	    2	     1		 ---> 	 L2M5	    7	     4		8.0003000E+03     	1.7842515E+12  	0.007379071290089544
	218	   K1	    2	     1		 ---> 	 L2M5	    3	     6		8.0007628E+03     	1.3319270E+10  	5.5084074673301915e-05
	219	   K1	    2	     1		 ---> 	 L2M5	    5	     6		8.0010622E+03     	5.2021234E+10  	0.00021514253695985685
	220	   K1	    2	     1		 ---> 	 L2M4	    5	     5		8.0022631E+03     	3.5453401E+11  	0.0014662348522903408
