"8026.7	","	2.23085"
"8026.71	","	2.20547"
"8026.72	","	2.25835"
"8026.73	","	2.28726"
"8026.74	","	2.22995"
"8026.75	","	2.26259"
"8026.76	","	2.30471"
"8026.77	","	2.26544"
"8026.78	","	2.26493"
"8026.79	","	2.2937"
"8026.8	","	2.28163"
"8026.81	","	2.32275"
"8026.82	","	2.33929"
"8026.83	","	2.32504"
"8026.84	","	2.37136"
"8026.85	","	2.31709"
"8026.86	","	2.37024"
"8026.87	","	2.40828"
"8026.88	","	2.36664"
"8026.89	","	2.40893"
"8026.9	","	2.37989"
"8026.91	","	2.41003"
"8026.92	","	2.42162"
"8026.93	","	2.44981"
"8026.94	","	2.4121"
"8026.95	","	2.45939"
"8026.96	","	2.45713"
"8026.97	","	2.4778"
"8026.98	","	2.46026"
"8026.99	","	2.5267"
"8027	","	2.46023"
"8027.01	","	2.48326"
"8027.02	","	2.51983"
"8027.03	","	2.54503"
"8027.04	","	2.54002"
"8027.05	","	2.56197"
"8027.06	","	2.58326"
"8027.07	","	2.54312"
"8027.08	","	2.61772"
"8027.09	","	2.60046"
"8027.1	","	2.60545"
"8027.11	","	2.6062"
"8027.12	","	2.64165"
"8027.13	","	2.65548"
"8027.14	","	2.6489"
"8027.15	","	2.68935"
"8027.16	","	2.64336"
"8027.17	","	2.64256"
"8027.18	","	2.69755"
"8027.19	","	2.70831"
"8027.2	","	2.6897"
"8027.21	","	2.71712"
"8027.22	","	2.70062"
"8027.23	","	2.74865"
"8027.24	","	2.71958"
"8027.25	","	2.72478"
"8027.26	","	2.78068"
"8027.27	","	2.76357"
"8027.28	","	2.73029"
"8027.29	","	2.77065"
"8027.3	","	2.78473"
"8027.31	","	2.78627"
"8027.32	","	2.78554"
"8027.33	","	2.8081"
"8027.34	","	2.8006"
"8027.35	","	2.80333"
"8027.36	","	2.87069"
"8027.37	","	2.85953"
"8027.38	","	2.88026"
"8027.39	","	2.86197"
"8027.4	","	2.90241"
"8027.41	","	2.90582"
"8027.42	","	2.87381"
"8027.43	","	2.90882"
"8027.44	","	2.91198"
"8027.45	","	2.9345"
"8027.46	","	2.90456"
"8027.47	","	2.96023"
"8027.48	","	2.94445"
"8027.49	","	2.92864"
"8027.5	","	2.95209"
"8027.51	","	2.98261"
