# Atomic number Z= 29  Date:10-1-2023

# Number	Shelli	2Ji	Eigi	Total Energy (eV)	Ground Energy(eV)	Partial Width (eV)
	34		L3M54s	 8	 1		-44016.50482		945.37853           0.019017660096086585
	35		L3M34s	 0	 1		-43937.08460		1024.79875          0.12837163723889952
	36		L2M24s	 0	 2		-43915.49254		1046.39081          0.17567537527005536
	37		L3M34s	 2	 1		-43939.74733		1022.13602          0.04310992557672243
	38		L3M24s	 2	 2		-43933.89707		1027.98628          0.045086952042341186
	39		L2M24s	 2	 3		-43916.94321		1044.94014          0.0431114238291246
	40		L2M34s	 2	 4		-43916.28070		1045.60265          0.04643004920238567
	41		L3M24s	 4	 1		-43934.55059		1027.33276          0.05145742406688866
	42		L3M34s	 4	 2		-43933.01530		1028.86805          0.040918975650592264
	43		L2M34s	 4	 3		-43915.22089		1046.66246          0.04591211269116866
	44		L3M34s	 6	 1		-43939.49175		1022.3916           0.043027963901211067
	45		L2M14s	 0	 1		-43867.77388		1094.10947          0.04341511789223443
	46		L3M14s	 2	 1		-43886.21705		1075.6663           0.04618292135077754
	47		L2M14s	 2	 2		-43866.84689		1095.03646          0.04532661758609052
	48		L3M14s	 4	 1		-43887.87945		1074.0039           0.04302351308427648
	49		L2N14s	 0	 1		-44002.97328		958.91007           0.03952679708531107
	50		L3N14s	 2	 1		-44022.95577		938.92758           0.03865400575570785
	51		L2N14s	 2	 2		-44002.93215		958.9512            0.039949289788563616
	52		L3N14s	 4	 1		-44023.03866		938.84469           0.039245127994118154
	53		L1L24s	 0	 1		-42874.82008		2087.06327          0.08540349215629817
	54		L1L34s	 2	 1		-42884.20628		2077.67707          0.09864059996217103
	55		L1L24s	 2	 2		-42843.37619		2118.50716          0.11918511329059217
	56		L1L34s	 4	 1		-42895.57543		2066.30792          0.08373744980437914
	57		L1L14s	 0	 1		-42710.84953		2251.03382          0.07360876155775782
	58		L1M44s	 2	 1		-43847.44537		1114.43798          0.03290450696162593
	59		L1M44s	 4	 1		-43847.60251		1114.28084          0.03298713836590826
	60		L1M54s	 4	 2		-43845.15519		1116.72816          0.03319176660773776
	61		L1M54s	 6	 1		-43847.79640		1114.08695          0.03285381706735337
	62		L1M24s	 0	 1		-43767.05199		1194.83136          0.022477276716272622
	63		L1M34s	 2	 1		-43768.84797		1193.03538          0.029975838369350007
	64		L1M24s	 2	 2		-43766.10905		1195.7743           0.038097554553195696
	65		L1M34s	 4	 1		-43769.78658		1192.09677          0.023180253508963865
	66		L1M14s	 0	 1		-43721.45450		1240.42885          0.2563051232158756
	67		L1M14s	 2	 1		-43722.54548		1239.33787          0.031264954592195075
	68		L1N14s	 0	 1		-43855.42770		1106.45565          0.001310666177031322
	69		L1N14s	 2	 1		-43855.57931		1106.30404          0.0009342759460045262
	70		M4M44s	 0	 1		-44946.72432		15.15903            4.2784993019048736e-13
	71		M5M54s	 0	 2		-44940.86175		21.0216             6.267154653105063e-12
	72		M4M54s	 2	 1		-44946.76621		15.11714            4.1597172475757017e-13
	73		M4M44s	 4	 1		-44949.35397		12.52938            4.9588982030823074e-14
	74		M5M54s	 4	 2		-44947.33800		14.54535            2.2416030040380325e-13
	75		M4M54s	 4	 3		-44946.83160		15.05175            3.9332081517761676e-13
	76		M4M54s	 6	 1		-44949.50028		12.38307            4.6129886781012266e-14
	77		M5M54s	 8	 1		-44949.72037		12.16298            4.12083193934739e-14
	78		M4M54s	 8	 2		-44946.03638		15.84697            4.93528875961925e-13
	79		M4N14s	 2	 1		-44954.28337		7.59998             1.76026757973463e-16
	80		M4N14s	 4	 1		-44954.41256		7.47079             8.707524263897118e-17
	81		M5N14s	 4	 2		-44953.92648		7.95687             1.116777921256747e-15
	82		M5N14s	 6	 1		-44954.53208		7.35127             0.0
	83		M3M44s	 0	 1		-44871.38297		90.50038            0.0006832478739708
	84		M3M44s	 2	 1		-44871.29926		90.58409            0.0007228539906725172
	85		M2M44s	 2	 2		-44869.27426		92.60909            0.0010831341424644774
	86		M3M54s	 2	 3		-44862.30447		99.57888            0.001081309736227632
	87		M3M44s	 4	 1		-44876.06561		85.81774            0.00040048012621882737
	88		M2M44s	 4	 2		-44874.29789		87.58546            0.0003877061192473759
	89		M3M44s	 4	 3		-44870.86674		91.01661            0.0008147133287537832
	90		M2M54s	 4	 4		-44868.89827		92.98508            0.0009966207329391887
	91		M3M44s	 6	 1		-44875.98875		85.8946             0.00031054084100545434
	92		M3M54s	 6	 2		-44870.20907		91.67428            0.0010985944462205855
