# Atomic number Z= 29  Date:04-11-2021

# Record	Shelli	  2Ji		  Eigi --->		Shellf	  2Jf			Eigf		   Energy (eV)			 Rate(1/s)			 Width(eV)
	 150	   K1	    0	         1 ---> 	 M4M5	    7	         1	     8.9563160E+03	        7.5338e-10	           1.51731
	 151	   K1	    0	         1 ---> 	 M5M5	    9	         1	     8.9564712E+03	       1.89047e-09	           1.51731
	 152	   K1	    0	         1 ---> 	 M4N1	    3	         1	     8.9619902E+03	       3.78193e-08	           1.51731
	 153	   K1	    0	         1 ---> 	 M5N1	    5	         1	     8.9622395E+03	       5.72009e-08	           1.51731
	 154	   K1	    2	         1 ---> 	 L1L1	    1	         1	     6.7171621E+03	         0.0309546	           1.52287
	 155	   K1	    2	         1 ---> 	 L1L2	    1	         3	     6.8496012E+03	         0.0187352	           1.52287
	 156	   K1	    2	         1 ---> 	 L1L2	    3	         3	     6.8496491E+03	         0.0439273	           1.52287
	 157	   K1	    2	         1 ---> 	 L1L2	    1	         2	     6.8811424E+03	        0.00420468	           1.52287
	 158	   K1	    2	         1 ---> 	 L1L3	    1	         1	     6.8904685E+03	        0.00514922	           1.52287
	 159	   K1	    2	         1 ---> 	 L1L3	    3	         2	     6.8905551E+03	        0.00760697	           1.52287
	 160	   K1	    2	         1 ---> 	 L1L3	    3	         1	     6.9017778E+03	        0.00256738	           1.52287
	 161	   K1	    2	         1 ---> 	 L1L3	    5	         1	     6.9019859E+03	        0.00981979	           1.52287
	 162	   K1	    2	         1 ---> 	 L2L2	    1	         3	     6.9912295E+03	         0.0126039	           1.52287
	 163	   K1	    2	         1 ---> 	 L2L3	    3	         3	     7.0202995E+03	         0.0666278	           1.52287
	 164	   K1	    2	         1 ---> 	 L2L3	    5	         2	     7.0203316E+03	          0.100254	           1.52287
	 165	   K1	    2	         1 ---> 	 L2L3	    1	         2	     7.0307674E+03	       3.93966e-05	           1.52287
	 166	   K1	    2	         1 ---> 	 L2L3	    3	         2	     7.0309034E+03	       7.27309e-05	           1.52287
	 167	   K1	    2	         1 ---> 	 L3L3	    1	         1	     7.0355989E+03	        0.00404473	           1.52287
	 168	   K1	    2	         1 ---> 	 L3L3	    3	         1	     7.0487654E+03	         0.0104417	           1.52287
	 169	   K1	    2	         1 ---> 	 L3L3	    5	         1	     7.0489600E+03	         0.0145088	           1.52287
