# Atomic number Z= 29  Date:04-11-2021

# Record	Shelli	  2Ji		  Eigi --->		Shellf	  2Jf			Eigf		   Energy (eV)			 Rate(1/s)			 Width(eV)
	 142	   K1	    0	         1 ---> 	 M4M5	    3	         3	     8.9534954E+03	       7.07891e-10	           1.51732
	 143	   K1	    0	         1 ---> 	 M4M5	    5	         4	     8.9535056E+03	       5.77785e-09	           1.51732
	 144	   K1	    0	         1 ---> 	 M5M5	    3	         2	     8.9537764E+03	       1.14707e-08	           1.51732
	 145	   K1	    0	         1 ---> 	 M5M5	    5	         3	     8.9538438E+03	       1.38391e-08	           1.51732
	 146	   K1	    0	         1 ---> 	 M4M5	    5	         2	     8.9553640E+03	       2.31101e-10	           1.51732
	 147	   K1	    0	         1 ---> 	 M5M5	    7	         2	     8.9556019E+03	       8.20702e-14	           1.51732
	 148	   K1	    0	         1 ---> 	 M4M4	    3	         1	     8.9560968E+03	       4.69479e-13	           1.51732
	 149	   K1	    0	         1 ---> 	 M4M5	    5	         1	     8.9561869E+03	       1.76342e-12	           1.51732
	 150	   K1	    0	         1 ---> 	 M4M5	    7	         1	     8.9563160E+03	       7.53373e-10	           1.51732
	 151	   K1	    0	         1 ---> 	 M5M5	    9	         1	     8.9564712E+03	       1.89045e-09	           1.51732
	 152	   K1	    0	         1 ---> 	 M4N1	    3	         1	     8.9619902E+03	        3.7819e-08	           1.51732
	 153	   K1	    0	         1 ---> 	 M5N1	    5	         1	     8.9622395E+03	       5.72004e-08	           1.51732
	 154	   K1	    2	         1 ---> 	 L1L1	    1	         1	     6.7171621E+03	         0.0309543	           1.52289
	 155	   K1	    2	         1 ---> 	 L1L2	    1	         3	     6.8496012E+03	         0.0187351	           1.52289
	 156	   K1	    2	         1 ---> 	 L1L2	    3	         3	     6.8496491E+03	         0.0439269	           1.52289
	 157	   K1	    2	         1 ---> 	 L1L2	    1	         2	     6.8811424E+03	        0.00420464	           1.52289
	 158	   K1	    2	         1 ---> 	 L1L3	    1	         1	     6.8904685E+03	        0.00514917	           1.52289
	 159	   K1	    2	         1 ---> 	 L1L3	    3	         2	     6.8905551E+03	        0.00760691	           1.52289
